part_id,check_num,trial_num,success
34559958,0,20,True
34559958,1,40,True
34559958,2,60,True
34559958,3,80,True
34559958,4,100,True
34559958,5,120,True
34559958,6,140,True
34559958,7,160,True
34559958,8,180,True
34559958,9,200,True
34559958,10,220,True
34559958,11,240,True
34559958,12,260,True
34559958,13,280,True
34559958,14,300,True
34559958,15,320,True
34559958,16,340,True
34559958,17,360,True
34559958,18,380,True
34559958,19,400,True
34559958,20,420,True
34559958,21,440,True
34559958,22,460,True
34559958,23,480,True
29068758,0,20,True
29068758,1,40,True
29068758,2,60,True
29068758,3,80,True
29068758,4,100,True
29068758,5,120,True
29068758,6,140,True
29068758,7,160,True
29068758,8,180,True
29068758,9,200,True
29068758,10,220,True
29068758,11,240,True
29068758,12,260,True
29068758,13,280,True
29068758,14,300,True
29068758,15,320,True
29068758,16,340,True
29068758,17,360,True
29068758,18,380,True
29068758,19,400,True
29068758,20,420,True
29068758,21,440,True
29068758,22,460,True
29068758,23,480,True
32266705,0,20,True
32266705,1,40,True
32266705,2,60,True
32266705,3,80,True
32266705,4,100,True
32266705,5,120,True
32266705,6,140,True
32266705,7,160,True
32266705,8,180,True
32266705,9,200,True
32266705,10,220,True
32266705,11,240,True
32266705,12,260,True
32266705,13,280,True
32266705,14,300,True
32266705,15,320,True
32266705,16,340,True
32266705,17,360,True
32266705,18,380,True
32266705,19,400,True
32266705,20,420,True
32266705,21,440,True
32266705,22,460,True
32266705,23,480,True
48553778,0,20,True
48553778,1,40,True
48553778,2,60,True
48553778,3,80,True
48553778,4,100,True
48553778,5,120,True
48553778,6,140,True
48553778,7,160,True
48553778,8,180,True
48553778,9,200,True
48553778,10,220,True
48553778,11,240,True
48553778,12,260,True
48553778,13,280,True
48553778,14,300,True
48553778,15,320,True
48553778,16,340,True
48553778,17,360,True
48553778,18,380,True
48553778,19,400,True
48553778,20,420,True
48553778,21,440,True
48553778,22,460,True
48553778,23,480,True
36557504,0,20,True
36557504,1,40,True
36557504,2,60,True
36557504,3,80,True
36557504,4,100,True
36557504,5,120,True
36557504,6,140,True
36557504,7,160,True
36557504,8,180,True
36557504,9,200,True
36557504,10,220,True
36557504,11,240,True
36557504,12,260,True
36557504,13,280,True
36557504,14,300,True
36557504,15,320,True
36557504,16,340,True
36557504,17,360,True
36557504,18,380,True
36557504,19,400,True
36557504,20,420,True
36557504,21,440,True
36557504,22,460,True
36557504,23,480,True
65210828,0,20,True
65210828,1,40,True
