part_id,check_num,trial_num,success
31112707,7,160,True
31112707,8,180,True
31112707,9,200,True
31112707,10,220,True
31112707,11,240,True
31112707,12,260,True
31112707,13,280,True
31112707,14,300,True
31112707,15,320,True
31112707,16,340,True
31112707,17,360,True
31112707,18,380,True
31112707,19,400,True
31112707,20,420,True
31112707,21,440,True
31112707,22,460,True
31112707,23,480,True
21614057,0,20,True
21614057,1,40,True
21614057,2,60,True
21614057,3,80,True
21614057,4,100,True
21614057,5,120,True
21614057,6,140,True
21614057,7,160,True
21614057,8,180,True
21614057,9,200,True
21614057,10,220,True
21614057,11,240,True
21614057,12,260,True
21614057,13,280,True
21614057,14,300,True
21614057,15,320,True
21614057,16,340,True
21614057,17,360,True
21614057,18,380,True
21614057,19,400,True
21614057,20,420,True
21614057,21,440,True
21614057,22,460,True
21614057,23,480,True
86398660,0,20,True
86398660,1,40,True
86398660,2,60,True
86398660,3,80,False
86398660,4,100,True
86398660,5,120,True
86398660,6,140,True
86398660,7,160,True
86398660,8,180,True
86398660,9,200,True
86398660,10,220,True
86398660,11,240,True
86398660,12,260,True
86398660,13,280,True
86398660,14,300,True
86398660,15,320,True
86398660,16,340,True
86398660,17,360,True
86398660,18,380,True
86398660,19,400,True
86398660,20,420,True
86398660,21,440,True
86398660,22,460,True
86398660,23,480,True
26538263,0,20,True
26538263,1,40,True
26538263,2,60,True
26538263,3,80,True
26538263,4,100,True
26538263,5,120,True
26538263,6,140,True
26538263,7,160,True
26538263,8,180,True
26538263,9,200,True
26538263,10,220,True
26538263,11,240,True
26538263,12,260,True
26538263,13,280,True
26538263,14,300,True
26538263,15,320,True
26538263,16,340,True
26538263,17,360,True
26538263,18,380,True
26538263,19,400,True
26538263,20,420,True
26538263,21,440,True
26538263,22,460,True
26538263,23,480,True
31287073,0,20,True
31287073,1,40,True
31287073,2,60,True
31287073,3,80,True
31287073,4,100,True
31287073,5,120,True
31287073,6,140,True
31287073,7,160,True
31287073,8,180,True
31287073,9,200,True
31287073,10,220,True
31287073,11,240,True
31287073,12,260,True
31287073,13,280,True
31287073,14,300,True
31287073,15,320,True
31287073,16,340,True
31287073,17,360,True
31287073,18,380,True
31287073,19,400,True
31287073,20,420,True
31287073,21,440,True
31287073,22,460,True
31287073,23,480,True
32009603,0,20,True
32009603,1,40,True
32009603,2,60,True
32009603,3,80,True
32009603,4,100,True
32009603,5,120,True
32009603,6,140,True
32009603,7,160,True
32009603,8,180,True
32009603,9,200,True
32009603,10,220,True
32009603,11,240,True
32009603,12,260,True
32009603,13,280,True
32009603,14,300,True
32009603,15,320,True
32009603,16,340,True
32009603,17,360,True
32009603,18,380,True
32009603,19,400,True
32009603,20,420,True
32009603,21,440,True
32009603,22,460,True
32009603,23,480,True
15767172,0,20,True
15767172,1,40,True
15767172,2,60,True
15767172,3,80,True
15767172,4,100,True
15767172,5,120,True
15767172,6,140,True
15767172,7,160,True
15767172,8,180,True
15767172,9,200,True
15767172,10,220,True
15767172,11,240,True
15767172,12,260,True
15767172,13,280,True
15767172,14,300,True
15767172,15,320,True
15767172,16,340,True
15767172,17,360,True
15767172,18,380,True
15767172,19,400,True
15767172,20,420,True
15767172,21,440,True
15767172,22,460,True
15767172,23,480,True
14954687,0,20,True
14954687,1,40,True
14954687,2,60,True
14954687,3,80,True
14954687,4,100,True
14954687,5,120,True
14954687,6,140,True
14954687,7,160,True
14954687,8,180,True
14954687,9,200,True
14954687,10,220,True
14954687,11,240,True
14954687,12,260,True
14954687,13,280,True
14954687,14,300,True
14954687,15,320,True
14954687,16,340,True
14954687,17,360,True
14954687,18,380,True
14954687,19,400,True
14954687,20,420,True
14954687,21,440,True
14954687,22,460,True
14954687,23,480,True
75241146,0,20,True
75241146,1,40,True
75241146,2,60,True
75241146,3,80,True
75241146,4,100,True
75241146,5,120,True
75241146,6,140,True
75241146,7,160,True
75241146,8,180,True
75241146,9,200,True
75241146,10,220,True
75241146,11,240,True
75241146,12,260,True
75241146,13,280,True
75241146,14,300,True
75241146,15,320,True
75241146,16,340,True
75241146,17,360,True
75241146,18,380,True
75241146,19,400,True
75241146,20,420,True
75241146,21,440,True
75241146,22,460,True
75241146,23,480,True
28219322,0,20,True
28219322,1,40,True
28219322,2,60,True
28219322,3,80,True
28219322,4,100,True
28219322,5,120,True
28219322,6,140,True
28219322,7,160,True
28219322,8,180,True
28219322,9,200,True
28219322,10,220,True
28219322,11,240,True
28219322,12,260,True
28219322,13,280,True
28219322,14,300,True
28219322,15,320,True
28219322,16,340,True
28219322,17,360,True
28219322,18,380,True
28219322,19,400,True
28219322,20,420,True
28219322,21,440,True
28219322,22,460,True
28219322,23,480,True
32561373,0,20,True
32561373,1,40,True
32561373,2,60,True
32561373,3,80,True
32561373,4,100,True
32561373,5,120,True
32561373,6,140,True
32561373,7,160,True
32561373,8,180,True
32561373,9,200,True
32561373,10,220,True
32561373,11,240,True
32561373,12,260,True
32561373,13,280,True
32561373,14,300,True
32561373,15,320,True
32561373,16,340,True
32561373,17,360,True
32561373,18,380,True
32561373,19,400,True
32561373,20,420,True
32561373,21,440,True
32561373,22,460,True
32561373,23,480,True
48410499,0,20,True
48410499,1,40,True
48410499,2,60,True
48410499,3,80,True
48410499,4,100,True
48410499,5,120,True
48410499,6,140,True
48410499,7,160,True
48410499,8,180,True
48410499,9,200,True
48410499,10,220,True
48410499,11,240,True
48410499,12,260,True
48410499,13,280,True
48410499,14,300,True
48410499,15,320,True
48410499,16,340,True
48410499,17,360,True
48410499,18,380,True
48410499,19,400,True
