,part_id,speed,K,b,sig_r
0,17044474,500.0,0.01709975946676697,0.0023713737056616554,0.03162277660168379
1,17044474,250.0,0.008817820461920244,0.0005623413251903491,0.012574334296829354
2,17044474,1000.0,0.0070710678118654745,0.0023713737056616554,0.03162277660168379
3,17044474,1500.0,0.008817820461920244,0.004216965034285823,0.05014844822490394
4,17044474,1250.0,0.008817820461920244,0.004216965034285823,0.043003618386100055
5,17044474,750.0,0.008817820461920244,0.0017782794100389228,0.03162277660168379
6,17044474,100.0,0.0036463323686085542,1e-05,0.005
7,19103050,750.0,0.0036463323686085542,0.0005623413251903491,0.017099759466766964
8,19103050,100.0,0.0036463323686085542,1e-05,0.005830724263090531
9,19103050,1500.0,0.0036463323686085542,0.0031622776601683794,0.036876738159545834
10,19103050,500.0,0.005670335454880833,0.00023713737056616554,0.012574334296829354
11,19103050,1250.0,0.0023447889191314,0.001333521432163324,0.02711736584926619
12,19103050,1000.0,0.002924017738212867,0.001,0.02325385717596329
13,19103050,250.0,0.0045470790305426525,1e-05,0.007929165875686216
14,21951474,1500.0,0.005670335454880833,0.0023713737056616554,0.03162277660168379
15,21951474,1250.0,0.0045470790305426525,0.001333521432163324,0.03162277660168379
16,21951474,750.0,0.005670335454880833,0.00042169650342858224,0.01994079648317803
17,21951474,250.0,0.0023447889191314,1e-05,0.007929165875686216
18,21951474,1000.0,0.005670335454880833,0.0005623413251903491,0.02325385717596329
19,21951474,500.0,0.0070710678118654745,1e-05,0.017099759466766964
20,21951474,100.0,0.002924017738212867,1e-05,0.005
21,34559958,1250.0,0.005670335454880833,0.0023713737056616554,0.03162277660168379
22,34559958,1500.0,0.002924017738212867,0.0017782794100389228,0.03162277660168379
23,34559958,750.0,0.005670335454880833,0.0017782794100389228,0.02325385717596329
24,34559958,1000.0,0.002924017738212867,0.001,0.02325385717596329
25,34559958,250.0,0.005670335454880833,0.0005623413251903491,0.017099759466766964
26,34559958,500.0,0.005670335454880833,0.0017782794100389228,0.014663495215346859
27,34559958,100.0,0.005670335454880833,0.00023713737056616554,0.02711736584926619
28,25586637,1500.0,0.005670335454880833,0.0023713737056616554,0.03162277660168379
29,25586637,1250.0,0.0045470790305426525,0.001,0.03162277660168379
30,25586637,750.0,0.010996070150562788,0.001,0.02711736584926619
31,25586637,1000.0,0.005670335454880833,0.001,0.02711736584926619
32,25586637,250.0,0.005670335454880833,0.0001,0.007929165875686216
33,25586637,500.0,0.008817820461920244,0.00042169650342858224,0.014663495215346859
34,25586637,100.0,0.002924017738212867,1e-05,0.005
35,28205496,1500.0,0.010996070150562788,0.007498942093324558,0.043003618386100055
36,28205496,1250.0,0.01709975946676697,0.01,0.0681965646876194
37,28205496,750.0,0.0070710678118654745,0.0031622776601683794,0.02711736584926619
38,28205496,1000.0,0.0070710678118654745,0.004216965034285823,0.03162277660168379
39,28205496,250.0,0.0070710678118654745,0.0017782794100389228,0.014663495215346859
40,28205496,500.0,0.008817820461920244,0.0031622776601683794,0.02325385717596329
